player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
5945797,Venkat A,12519693,Weekend Warriors (WW),15,14,15,184,3,3.78,12.27,4,7.73,116,Right-arm medium,30.4,122
36272025,Srinivas Vemulapalli,12519660,Royal Cricket Blasters (RCB),15,15,12,198,2,4.88,16.50,1,13.42,161,Right-arm medium,33.0,118
23317841,Lokesh Kumar Yc,12519693,Weekend Warriors (WW),12,12,11,162,3,5.81,14.73,1,14.27,157,Right-arm fast,27.0,100
36285740,Pabitra,12519693,Weekend Warriors (WW),15,15,10,168,2,5.11,16.80,1,14.3,143,Right-arm Leg Break,28.0,116
27687690,Mahesh,12519660,Royal Cricket Blasters (RCB),9,8,10,102,3,5.59,10.20,0,9.5,95,Right-arm medium,17.0,60
34607385,Gopi,12519660,Royal Cricket Blasters (RCB),12,11,9,126,3,6.14,14.00,2,14.33,129,-,21.0,73
36285741,Vinod Reddy,12519693,Weekend Warriors (WW),6,6,7,72,4,3.42,10.29,1,5.86,41,Right-arm fast,12.0,48
42607076,Sudheer Nidiginti,12519693,Weekend Warriors (WW),12,11,6,102,2,7.65,17.00,0,21.67,130,-,17.0,55
39978351,Mithun,12519660,Royal Cricket Blasters (RCB),6,5,5,72,2,3.92,14.40,1,9.4,47,-,12.0,42
15990447,Srikanta Maddara,12519693,Weekend Warriors (WW),15,15,5,152,2,6.39,30.40,0,32.4,162,Right-arm medium,25.2,92
24920096,Jithin Tj,12519660,Royal Cricket Blasters (RCB),12,12,5,114,2,6.42,22.80,2,24.4,122,Right-arm medium,19.0,62
36566491,Sudhir Midtown,12519693,Weekend Warriors (WW),6,6,5,60,3,7.50,12.00,0,15,75,Right-arm medium,10.0,39
7577506,Leela Anna,12519660,Royal Cricket Blasters (RCB),12,9,4,78,2,6.00,19.50,1,19.5,78,None,13.0,49
43156255,Arun,12519660,Royal Cricket Blasters (RCB),12,10,3,108,2,5.89,36.00,1,35.33,106,-,18.0,56
36284615,Vinay Ks,12519660,Royal Cricket Blasters (RCB),15,4,3,22,3,9.27,7.33,0,11.33,34,Right-arm medium,3.4,9
36285742,Manjunath,12519660,Royal Cricket Blasters (RCB),12,1,2,6,2,6.00,3.00,0,3,6,Slow left-arm chinaman,1.0,5
42607170,Murali Cn Cricket,12519660,Royal Cricket Blasters (RCB),12,2,1,18,1,5.33,18.00,0,16,16,-,3.0,11
36285780,Deepak Kumar,12519660,Royal Cricket Blasters (RCB),6,3,1,24,1,5.75,24.00,0,23,23,Right-arm medium,4.0,13
32475183,Shaik Azeed,12519660,Royal Cricket Blasters (RCB),6,3,1,37,1,5.84,37.00,1,36,36,Right-arm medium,6.1,23
22711554,Pavan,12519660,Royal Cricket Blasters (RCB),6,5,1,53,1,6.91,53.00,0,61,61,Right-arm medium,8.5,30
45730696,Firoz,12519693,Weekend Warriors (WW),6,3,1,18,1,10.33,18.00,0,31,31,-,3.0,9
36266644,Karthik Reddy,12519693,Weekend Warriors (WW),6,4,0,30,0,9.60,0.00,0,0,48,Right-arm medium,5.0,15
24133065,Ashik Jain,12519693,Weekend Warriors (WW),3,1,0,6,0,11.00,0.00,0,0,11,Right-arm fast,1.0,4
23317824,Ashok,12519693,Weekend Warriors (WW),6,2,0,12,0,12.00,0.00,0,0,24,Right-arm medium,2.0,3
46521634,Satyam Goyal,12519660,Royal Cricket Blasters (RCB),9,0,,,,0.00,0.00,0,0,0,-,0.0,0
48022578,Vishwanath Cricket,12519660,Royal Cricket Blasters (RCB),3,0,,,,0.00,0.00,0,0,0,-,0.0,0
43374562,Subbu,12519693,Weekend Warriors (WW),15,0,,,,0.00,0.00,0,0,0,None,0.0,0
32252331,Rajkumar Muddasu,12519693,Weekend Warriors (WW),12,0,,,,0.00,0.00,0,0,0,-,0.0,0
43156222,Girish Cricket,12519693,Weekend Warriors (WW),9,0,,,,0.00,0.00,0,0,0,-,0.0,0
48699330,Kranthi 202 Midtown Raaga,12519660,Royal Cricket Blasters (RCB),6,0,,,,0.00,0.00,0,0,0,-,0.0,0
42545298,Arun 102raaga,12519660,Royal Cricket Blasters (RCB),9,0,,,,0.00,0.00,0,0,0,-,0.0,0
37092656,Vijay 208,12519660,Royal Cricket Blasters (RCB),6,0,,,,0.00,0.00,0,0,0,Right-arm medium,0.0,0
23317827,Balaji Balaraju,12519693,Weekend Warriors (WW),9,0,,,,0.00,0.00,0,0,0,Right-arm fast,0.0,0
23317861,Seenu,12519693,Weekend Warriors (WW),6,0,,,,0.00,0.00,0,0,0,Right-arm fast,0.0,0
24500548,Mahesh,12519693,Weekend Warriors (WW),9,0,,,,0.00,0.00,0,0,0,Right-arm fast,0.0,0
35651267,Ashok Adapala,12519693,Weekend Warriors (WW),9,0,,,,0.00,0.00,0,0,0,-,0.0,0
28100363,Rk,12519693,Weekend Warriors (WW),15,0,,,,0.00,0.00,0,0,0,-,0.0,0
