player_id,name,team_id,team_name,total_match,innings,total_wickets,balls,highest_wicket,economy,SR,maidens,avg,runs,bowling_style,overs,dot_balls
,Lokesh kumar YC,,Weekend Warriors (WW),31,31,27,396,3,6.23,14.67,2,15.22,411,-,66.0,235
,Srinivas Vemulapalli,,Royal Cricket Blasters (RCB),28,28,24,348,2,5.66,14.5,1,13.67,328,-,58.0,192
,Vinod Reddy,,Weekend Warriors (WW),19,19,24,246,4,5.05,10.25,1,8.62,207,-,41.0,160
,Venkat A,,Weekend Warriors (WW),25,25,22,312,3,4.69,14.18,5,11.09,244,-,52.0,209
,Arun,,Royal Cricket Blasters (RCB),29,29,17,312,2,5.92,18.35,1,18.12,308,-,52.0,179
,Mahesh Amaran,,Royal Cricket Blasters (RCB),10,10,17,132,5,5.05,7.76,1,6.53,111,-,22.0,81
,Pabitra,,Weekend Warriors (WW),23,23,16,258,2,6.05,16.12,1,16.25,260,-,43.0,169
,Gopi,,Royal Cricket Blasters (RCB),23,23,15,258,3,6.37,17.2,2,18.27,274,-,43.0,147
,Sudhir Midtown,,Weekend Warriors (WW),20,20,15,198,3,6.97,13.2,0,15.33,230,-,33.0,131
,Sudheer Nidiginti,,Weekend Warriors (WW),26,26,14,228,3,8.21,16.29,1,22.29,312,-,38.0,122
,Srikanta Maddara,,Weekend Warriors (WW),25,25,12,246,2,7.12,20.5,0,24.33,292,-,41.0,141
,shaik azeed,,Royal Cricket Blasters (RCB),13,13,10,150,2,6.16,15.0,1,15.4,154,-,25.0,95
,Pavan,,Royal Cricket Blasters (RCB),14,14,10,150,2,7.72,15.0,0,19.3,193,-,25.0,91
,Jithin Tj,,Royal Cricket Blasters (RCB),20,20,9,198,2,5.61,22.0,5,20.56,185,-,33.0,122
,Leel,,Royal Cricket Blasters (RCB),18,18,8,138,2,8.13,17.25,1,23.38,187,-,23.0,81
,Mithun,,Royal Cricket Blasters (RCB),8,8,6,108,2,3.67,18.0,2,11.0,66,-,18.0,67
,Mithun,,Weekend Warriors (WW),6,6,6,78,3,7.77,13.0,0,16.83,101,-,13.0,44
,Mahesh,,Royal Cricket Blasters (RCB),11,11,6,120,1,5.0,20.0,0,16.67,100,-,20.0,74
,Vinay KS,,Royal Cricket Blasters (RCB),5,5,3,24,3,12.25,8.0,0,16.33,49,-,4.0,14
,Ashok,,Weekend Warriors (WW),7,7,3,42,2,10.0,14.0,0,23.33,70,-,7.0,26
,Deepak Kumar,,Royal Cricket Blasters (RCB),9,9,3,78,1,5.77,26.0,0,25.0,75,-,13.0,43
,Firoz,,Weekend Warriors (WW),6,6,3,42,2,10.29,14.0,0,24.0,72,-,7.0,28
,Reddy Virat,,Royal Cricket Blasters (RCB),2,2,3,18,3,5.0,6.0,0,5.0,15,-,3.0,11
,Manjunath,,Royal Cricket Blasters (RCB),1,1,2,6,2,6.0,3.0,0,3.0,6,-,1.0,5
,Murali Cn Cricket,,Royal Cricket Blasters (RCB),7,7,1,54,1,7.56,54.0,0,68.0,68,-,9.0,35
,Vishwanath Cricket,,Royal Cricket Blasters (RCB),1,1,1,6,1,7.0,6.0,0,7.0,7,-,1.0,2
,Chinmay M,,Royal Cricket Blasters (RCB),1,1,1,6,1,6.0,6.0,0,6.0,6,-,1.0,4
,Sridhar b,,Royal Cricket Blasters (RCB),2,2,1,12,1,5.0,12.0,0,10.0,10,-,2.0,8
,Karthik Reddy,,Weekend Warriors (WW),4,4,0,30,0,9.6,-,0,-,48,-,5.0,15
,Ashik Jain,,Weekend Warriors (WW),1,1,0,6,0,11.0,-,0,-,11,-,1.0,4
,Abhishikth Reddy,,Royal Cricket Blasters (RCB),1,1,0,6,0,8.0,-,0,-,8,-,1.0,2
,Balaji Balaraju,,Weekend Warriors (WW),1,1,0,6,0,4.0,-,0,-,4,-,1.0,4
,Satyam Goyal,,Royal Cricket Blasters (RCB),1,1,0,6,0,4.0,-,0,-,4,-,1.0,6
